,trade_month_date
0,19910102
1,19910201
2,19910301
3,19910401
4,19910502
5,19910603
6,19910701
7,19910801
8,19910902
9,19911003
10,19911101
11,19911202
12,19920102
13,19920203
14,19920302
15,19920401
16,19920504
17,19920601
18,19920701
19,19920803
20,19920901
21,19921005
22,19921102
23,19921201
24,19930104
25,19930201
26,19930301
27,19930401
28,19930503
29,19930601
30,19930701
31,19930802
32,19930901
33,19931004
34,19931101
35,19931201
36,19940103
37,19940201
38,19940301
39,19940401
40,19940503
41,19940601
42,19940701
43,19940801
44,19940901
45,19941005
46,19941101
47,19941201
48,19950103
49,19950206
50,19950301
51,19950403
52,19950502
53,19950601
54,19950703
55,19950801
56,19950901
57,19951004
58,19951101
59,19951201
60,19960102
61,19960201
62,19960304
63,19960401
64,19960502
65,19960603
66,19960701
67,19960801
68,19960902
69,19961003
70,19961101
71,19961202
72,19970102
73,19970217
74,19970303
75,19970401
76,19970505
77,19970602
78,19970702
79,19970801
80,19970901
81,19971006
82,19971103
83,19971201
84,19980105
85,19980209
86,19980302
87,19980401
88,19980504
89,19980601
90,19980701
91,19980803
92,19980901
93,19981005
94,19981102
95,19981201
96,19990104
97,19990201
98,19990301
99,19990401
100,19990504
101,19990601
102,19990701
103,19990802
104,19990901
105,19991008
106,19991101
107,19991201
108,20000104
109,20000214
110,20000301
111,20000403
112,20000508
113,20000601
114,20000703
115,20000801
116,20000901
117,20001009
118,20001101
119,20001201
120,20010102
121,20010205
122,20010301
123,20010402
124,20010508
125,20010601
126,20010702
127,20010801
128,20010903
129,20011008
130,20011101
131,20011203
132,20020104
133,20020201
134,20020301
135,20020401
136,20020508
137,20020603
138,20020701
139,20020801
140,20020902
141,20021008
142,20021101
143,20021202
144,20030102
145,20030210
146,20030303
147,20030401
148,20030512
149,20030602
150,20030701
151,20030801
152,20030901
153,20031008
154,20031103
155,20031201
156,20040102
157,20040202
158,20040301
159,20040401
160,20040510
161,20040601
162,20040701
163,20040802
164,20040901
165,20041008
166,20041101
167,20041201
168,20050104
169,20050201
170,20050301
171,20050401
172,20050509
173,20050601
174,20050701
175,20050801
176,20050901
177,20051010
178,20051101
179,20051201
180,20060104
181,20060206
182,20060301
183,20060403
184,20060508
185,20060601
186,20060703
187,20060801
188,20060901
189,20061009
190,20061101
191,20061201
192,20070104
193,20070201
194,20070301
195,20070402
196,20070508
197,20070601
198,20070702
199,20070801
200,20070903
201,20071008
202,20071101
203,20071203
204,20080102
205,20080201
206,20080303
207,20080401
208,20080505
209,20080602
210,20080701
211,20080801
212,20080901
213,20081006
214,20081103
215,20081201
216,20090105
217,20090202
218,20090302
219,20090401
220,20090504
221,20090601
222,20090701
223,20090803
224,20090901
225,20091009
226,20091102
227,20091201
228,20100104
229,20100201
230,20100301
231,20100401
232,20100504
233,20100601
234,20100701
235,20100802
236,20100901
237,20101008
238,20101101
239,20101201
240,20110104
241,20110201
242,20110301
243,20110401
244,20110503
245,20110601
246,20110701
247,20110801
248,20110901
249,20111010
250,20111101
251,20111201
252,20120104
253,20120201
254,20120301
255,20120405
256,20120502
257,20120601
258,20120702
259,20120801
260,20120903
261,20121008
262,20121101
263,20121203
264,20130104
265,20130201
266,20130301
267,20130401
268,20130502
269,20130603
270,20130701
271,20130801
272,20130902
273,20131008
274,20131101
275,20131202
276,20140102
277,20140207
278,20140303
279,20140401
280,20140505
281,20140603
282,20140701
283,20140801
284,20140901
285,20141008
286,20141103
287,20141201
288,20150105
289,20150202
290,20150302
291,20150401
292,20150504
293,20150601
294,20150701
295,20150803
296,20150901
297,20151008
298,20151102
299,20151201
300,20160104
301,20160201
302,20160301
303,20160401
304,20160503
305,20160601
306,20160701
307,20160801
308,20160901
309,20161010
310,20161101
311,20161201
312,20170103
313,20170203
314,20170301
315,20170405
316,20170502
317,20170601
318,20170703
319,20170801
320,20170901
321,20171009
322,20171101
323,20171201
324,20180102
325,20180201
326,20180301
327,20180402
328,20180502
329,20180601
330,20180702
331,20180801
332,20180903
333,20181008
334,20181101
335,20181203
336,20190102
337,20190201
338,20190301
339,20190401
340,20190506
341,20190603
342,20190701
343,20190801
344,20190902
345,20191008
346,20191101
347,20191202
348,20200102
349,20200203
350,20200302
351,20200401
352,20200504
353,20200601
354,20200701
355,20200803
356,20200901
357,20201002
358,20201102
359,20201201
